Time (ms),Name,Value
"22146","IR Distance","2210.0"
"22247","Arm Pot","0.46045690775414927"
"22247","IR Distance","2205.0"
"22347","Arm Pot","0.45958278149900494"
"22347","IR Distance","2207.0"
"22448","Arm Pot","0.4595186715611032"
"22448","IR Distance","2204.0"
"22548","Arm Pot","0.4579932536296314"
"22548","IR Distance","2205.0"
"22649","Arm Pot","0.45821928025754766"
"22649","IR Distance","2196.0"
"22749","Arm Pot","0.45629041179150936"
"22750","IR Distance","2207.0"
"22850","Arm Pot","0.45439003398675815"
"22850","IR Distance","2201.0"
"22951","Arm Pot","0.45380504161795093"
"22951","IR Distance","2208.0"
"23051","Arm Pot","0.45240458126825744"
"23051","IR Distance","2197.0"
"23152","Arm Pot","0.4519860599858677"
"23152","IR Distance","2208.0"
"23252","Arm Pot","0.45084865666852947"
"23252","IR Distance","2204.0"
"23353","Arm Pot","0.44986319501872235"
"23353","IR Distance","2216.0"
"23454","Arm Pot","0.4486485942560802"
"23454","IR Distance","2204.0"
"23554","Arm Pot","0.4459369815822183"
"23554","IR Distance","2209.0"
"23655","Arm Pot","0.44605236013764704"
"23655","IR Distance","2204.0"
"23756","Arm Pot","0.44455890550447646"
"23756","IR Distance","2212.0"
"23857","Arm Pot","0.44395042511987937"
"23857","IR Distance","2201.0"
"23957","Arm Pot","0.44247223264516866"
"23957","IR Distance","2206.0"
"24057","Arm Pot","0.43989141527203895"
"24057","IR Distance","2194.0"
"24158","Arm Pot","0.44026724599141603"
"24158","IR Distance","2213.0"
"24258","Arm Pot","0.4390231168708436"
"24258","IR Distance","2214.0"
"24359","Arm Pot","0.43836230063699144"
"24359","IR Distance","2198.0"
"24459","Arm Pot","0.4369238209826669"
"24459","IR Distance","2204.0"
"24560","Arm Pot","0.43386652617595056"
"24560","IR Distance","2212.0"
"24660","Arm Pot","0.4357116011000671"
"24660","IR Distance","2204.0"
"24761","Arm Pot","0.43446978379030377"
"24761","IR Distance","2204.0"
"24862","IR Distance","2202.0"
"24862","Arm Pot","0.43348403261180646"
"24962","IR Distance","2202.0"
"24962","Arm Pot","0.4319905228991636"
"25063","Arm Pot","0.4306800395809332"
"25063","IR Distance","2194.0"
"25164","Arm Pot","0.43003390348706594"
"25164","IR Distance","2205.0"
"25265","Arm Pot","0.4291742850528899"
"25265","IR Distance","2206.0"
"25365","Arm Pot","0.42658377436232536"
"25365","IR Distance","2209.0"
"25466","Arm Pot","0.42744871335134144"
"25466","IR Distance","2208.0"
"25567","Arm Pot","0.426337336567701"
"25567","IR Distance","2208.0"
"25667","Arm Pot","0.42498028836109164"
"25667","IR Distance","2205.0"
"25768","Arm Pot","0.42399482671128447"
"25768","IR Distance","2208.0"
"25868","Arm Pot","0.4231336452375848"
"25868","IR Distance","2206.0"
"25971","Arm Pot","0.42190296931817567"
"25971","IR Distance","2209.0"
"26069","IR Distance","2195.0"
"26069","Arm Pot","0.4191906405235956"
"26170","Arm Pot","0.4194370783182199"
"26170","IR Distance","2208.0"
"26270","Arm Pot","0.41759034714625337"
"26271","IR Distance","2199.0"
"26371","Arm Pot","0.41672626257735235"
"26371","IR Distance","2207.0"
"26471","IR Distance","2205.0"
"26471","Arm Pot","0.4159869491934794"
"26572","Arm Pot","0.4150011980149821"
"26572","IR Distance","2206.0"
"26673","Arm Pot","0.4142618846311091"
"26673","IR Distance","2204.0"
"26976","Arm Pot","0.41278710217178516"
"26976","IR Distance","2204.0"
"27077","Arm Pot","0.41056016464019346"
"27077","IR Distance","2202.0"
"27177","Arm Pot","0.4074883440770146"
"27177","IR Distance","2208.0"
"27278","Arm Pot","0.40903835083182644"
"27278","IR Distance","2194.0"
"27378","Arm Pot","0.40687606899361006"
"27378","IR Distance","2205.0"
"27479","Arm Pot","0.40390243145963867"
"27479","IR Distance","2211.0"
"27579","Arm Pot","0.40632240922213714"
"27580","IR Distance","2198.0"
"27680","Arm Pot","0.403783730015819"
"27680","IR Distance","2201.0"
"27781","Arm Pot","0.40304419928658397"
"27781","IR Distance","2205.0"
"27882","Arm Pot","0.4021763524869022"
"27882","IR Distance","2200.0"
"27982","Arm Pot","0.3988535251542519"
"27982","IR Distance","2212.0"
"28083","Arm Pot","0.4004502735141658"
"28083","IR Distance","2205.0"
"28184","Arm Pot","0.3992291791590252"
"28184","IR Distance","2214.0"
"28284","Arm Pot","0.3984898657751523"
"28284","IR Distance","2207.0"
"28385","Arm Pot","0.39763372757894305"
"28385","IR Distance","2203.0"
"28485","Arm Pot","0.3962583674375202"
"28486","IR Distance","2207.0"
"28586","Arm Pot","0.39589540223731157"
"28586","IR Distance","2205.0"
"28687","Arm Pot","0.39395315496306976"
"28687","IR Distance","2204.0"
"28787","Arm Pot","0.3928373651954441"
"28787","IR Distance","2209.0"
"28888","Arm Pot","0.3924600539174555"
"28888","IR Distance","2213.0"
"28988","Arm Pot","0.39249655152970925"
"28988","IR Distance","2203.0"
"29089","Arm Pot","0.3903574185525495"
"29089","IR Distance","2205.0"
"29189","Arm Pot","0.38971523748419745"
"29190","IR Distance","2205.0"
"29290","Arm Pot","0.3881394784009306"
"29290","IR Distance","2203.0"
"29390","Arm Pot","0.38643374591908775"
"29390","IR Distance","2204.0"
"29491","Arm Pot","0.3850690915439018"
"29491","IR Distance","2199.0"
"29592","Arm Pot","0.38419647368694143"
"29592","IR Distance","2216.0"
"29692","Arm Pot","0.3830768695972369"
"29692","IR Distance","2205.0"
"29793","Arm Pot","0.3820908286249235"
"29793","IR Distance","2201.0"
"29893","Arm Pot","0.38159780813876676"
"29893","IR Distance","2216.0"
"29994","Arm Pot","0.3803881487073178"
"29994","IR Distance","2205.0"
"30095","Arm Pot","0.3798722364372183"
"30095","IR Distance","2205.0"
"30195","Arm Pot","0.37877484220520624"
"30196","IR Distance","2202.0"
"30296","Arm Pot","0.3779244945827999"
"30296","IR Distance","2201.0"
"30396","Arm Pot","0.37716062376335635"
"30396","IR Distance","2203.0"
"30497","Arm Pot","0.3761745827910429"
"30497","IR Distance","2204.0"
"30597","Arm Pot","0.37472174422092663"
"30598","IR Distance","2205.0"
"30698","IR Distance","2207.0"
"30698","Arm Pot","0.37373628257111946"
"30798","Arm Pot","0.3726413351700124"
"30799","IR Distance","2216.0"
"30899","Arm Pot","0.3716281461611008"
"30899","IR Distance","2207.0"
"30999","Arm Pot","0.3706709907772874"
"31000","IR Distance","2203.0"
"31100","Arm Pot","0.3702583369571623"
"31100","IR Distance","2208.0"
"31201","Arm Pot","0.36948950746898096"
"31201","IR Distance","2204.0"
"31302","Arm Pot","0.36806987808472835"
"31302","IR Distance","2208.0"
"31402","Arm Pot","0.36757714725982477"
"31402","IR Distance","2201.0"
"31503","Arm Pot","0.36680719355406527"
"31503","IR Distance","2208.0"
"31603","Arm Pot","0.3660676628248302"
"31603","IR Distance","2204.0"
"31703","Arm Pot","0.36522076350086835"
"31704","IR Distance","2207.0"
"31804","Arm Pot","0.36444919779709173"
"31804","IR Distance","2198.0"
"31905","Arm Pot","0.36338893524814436"
"31905","IR Distance","2206.0"
"32005","Arm Pot","0.3625099477600008"
"32005","IR Distance","2204.0"
"32106","Arm Pot","0.36117164653607825"
"32106","IR Distance","2205.0"
"32206","Arm Pot","0.3599398194738193"
"32207","IR Distance","2204.0"
"32307","Arm Pot","0.3588133808406359"
"32307","IR Distance","2201.0"
"32408","Arm Pot","0.3578276296621386"
"32408","IR Distance","2205.0"
"32508","Arm Pot","0.3570883162782656"
"32508","IR Distance","2203.0"
"32608","Arm Pot","0.3565156451257282"
"32609","IR Distance","2199.0"
"32709","Arm Pot","0.3555052420496871"
"32709","IR Distance","2203.0"
"32810","Arm Pot","0.35215958445197"
"32810","IR Distance","2212.0"
"32910","Arm Pot","0.3533917493589007"
"32910","IR Distance","2215.0"
"33011","Arm Pot","0.35379603858789455"
"33011","IR Distance","2197.0"
"33111","Arm Pot","0.35156341950958075"
"33111","IR Distance","2205.0"
"33212","Arm Pot","0.35053754158415956"
"33212","IR Distance","2204.0"
"33312","Arm Pot","0.34875093346027686"
"33313","IR Distance","2206.0"
"33413","Arm Pot","0.3472731751657331"
"33413","IR Distance","2202.0"
"33513","Arm Pot","0.34585384696567073"
"33514","IR Distance","2208.0"
"33614","Arm Pot","0.3425485104616213"
"33614","IR Distance","2208.0"
"33715","Arm Pot","0.3425485104616213"
"33715","IR Distance","2208.0"
"33816","Arm Pot","0.3422213881819333"
"33816","IR Distance","2199.0"
"33916","Arm Pot","0.34008413251537806"
"33916","IR Distance","2207.0"
"34016","Arm Pot","0.3379655191871633"
"34017","IR Distance","2195.0"
"34117","Arm Pot","0.33811263015838344"
"34117","IR Distance","2209.0"
"34217","Arm Pot","0.33697947821484986"
"34217","IR Distance","2205.0"
"34318","Arm Pot","0.33589469000676453"
"34318","IR Distance","2206.0"
"34419","Arm Pot","0.33476088602714466"
"34419","IR Distance","2204.0"
"34519","Arm Pot","0.33416962544439427"
"34519","IR Distance","2204.0"
"34619","Arm Pot","0.33303531432559613"
"34619","IR Distance","2202.0"
"34720","Arm Pot","0.33210055192588944"
"34720","IR Distance","2204.0"
"34821","Arm Pot","0.33091397326426963"
"34821","IR Distance","2213.0"
"34922","Arm Pot","0.3306223594511787"
"34922","IR Distance","2214.0"
"35022","Arm Pot","0.32919712125621825"
"35022","IR Distance","2199.0"
"35123","Arm Pot","0.32717324367685363"
"35123","IR Distance","2198.0"
"35223","Arm Pot","0.3277622427841618"
"35224","IR Distance","2204.0"
"35324","Arm Pot","0.3264341474394983"
"35324","IR Distance","2207.0"
"35425","IR Distance","2204.0"
"35425","Arm Pot","0.3256950512021429"
"35525","Arm Pot","0.324463224139884"
"35525","IR Distance","2204.0"
"35625","Arm Pot","0.32357280027554824"
"35626","IR Distance","2203.0"
"35726","Arm Pot","0.32243537387322674"
"35726","IR Distance","2204.0"
"35826","Arm Pot","0.32091981891303567"
"35826","IR Distance","2206.0"
"35927","Arm Pot","0.3206155467400564"
"35927","IR Distance","2206.0"
"36027","Arm Pot","0.3190431850659446"
"36028","IR Distance","2204.0"
"36128","Arm Pot","0.31805772341613747"
"36128","IR Distance","2208.0"
"36228","Arm Pot","0.31731862717878206"
"36229","IR Distance","2205.0"
"36329","Arm Pot","0.316639862908902"
"36329","IR Distance","2207.0"
"36429","Arm Pot","0.3172383379436479"
"36429","IR Distance","2198.0"
"36530","Arm Pot","0.31513267979925086"
"36530","IR Distance","2208.0"
"36630","Arm Pot","0.31165222269239096"
"36630","IR Distance","2211.0"
"36731","Arm Pot","0.31199022392820497"
"36731","IR Distance","2208.0"
"36831","Arm Pot","0.3105755108512292"
"36831","IR Distance","2204.0"
"36932","Arm Pot","0.3096812993927766"
"36932","IR Distance","2206.0"
"37033","Arm Pot","0.30912382074699535"
"37033","IR Distance","2202.0"
"37133","Arm Pot","0.3082936570088401"
"37133","IR Distance","2203.0"
"37234","Arm Pot","0.3059858182059998"
"37234","IR Distance","2209.0"
"37334","Arm Pot","0.30706827767298644"
"37335","IR Distance","2202.0"
"37435","Arm Pot","0.3070020497985473"
"37435","IR Distance","2196.0"
"37535","Arm Pot","0.3041936158854282"
"37535","IR Distance","2205.0"
"37636","Arm Pot","0.3016398365539833"
"37636","IR Distance","2197.0"
