Time (ms),Name,Value
25450,"value3","799.0"
25450,"value2","574.0"
25450,"value1","513.0"
25551,"value1","514.0"
25551,"value2","574.0"
25551,"value3","800.0"
25655,"value2","575.0"
25655,"value3","801.0"
25656,"value1","513.0"
25759,"value1","515.0"
25759,"value2","573.0"
25759,"value3","800.0"
25860,"value1","514.0"
25860,"value2","574.0"
25860,"value3","801.0"
25961,"value1","514.0"
25961,"value2","575.0"
25961,"value3","799.0"
26062,"value3","801.0"
26062,"value2","574.0"
26062,"value1","514.0"
26163,"value1","515.0"
26163,"value2","574.0"
26163,"value3","800.0"
26264,"value2","575.0"
26264,"value3","801.0"
26264,"value1","513.0"
26365,"value3","800.0"
26365,"value1","515.0"
26365,"value2","575.0"
26466,"value1","515.0"
26466,"value2","576.0"
26466,"value3","802.0"
26567,"value1","491.0"
26567,"value2","553.0"
26567,"value3","805.0"
26668,"value1","505.0"
26668,"value2","561.0"
26668,"value3","798.0"
26769,"value1","501.0"
26769,"value2","559.0"
26769,"value3","797.0"
26870,"value1","502.0"
26870,"value2","559.0"
26870,"value3","797.0"
26971,"value1","501.0"
26971,"value3","797.0"
26971,"value2","559.0"
27072,"value2","555.0"
27072,"value3","793.0"
27072,"value1","500.0"
27179,"value1","499.0"
27179,"value2","557.0"
27179,"value3","795.0"
27280,"value2","549.0"
27280,"value3","791.0"
27280,"value1","498.0"
27381,"value1","474.0"
27381,"value2","493.0"
27381,"value3","730.0"
27482,"value1","480.0"
27482,"value2","501.0"
27482,"value3","739.0"
27583,"value1","478.0"
27583,"value2","502.0"
27583,"value3","737.0"
27684,"value1","478.0"
27684,"value3","736.0"
27684,"value2","502.0"
27785,"value1","480.0"
27785,"value3","738.0"
27785,"value2","503.0"
27886,"value1","479.0"
27886,"value2","503.0"
27886,"value3","736.0"
27987,"value1","479.0"
27987,"value2","502.0"
27987,"value3","736.0"
28088,"value1","481.0"
28088,"value2","503.0"
28088,"value3","738.0"
28189,"value1","483.0"
28189,"value2","510.0"
28189,"value3","743.0"
28290,"value1","487.0"
28290,"value2","515.0"
28290,"value3","748.0"
28391,"value1","505.0"
28391,"value2","556.0"
28391,"value3","793.0"
28495,"value2","546.0"
28495,"value3","797.0"
28495,"value1","498.0"
28599,"value1","499.0"
28599,"value2","549.0"
28599,"value3","796.0"
28700,"value1","498.0"
28700,"value2","544.0"
28700,"value3","794.0"
28801,"value1","496.0"
28801,"value2","543.0"
28801,"value3","795.0"
28902,"value1","495.0"
28902,"value3","796.0"
28902,"value2","547.0"
29003,"value1","504.0"
29003,"value2","562.0"
29003,"value3","804.0"
29104,"value1","508.0"
29104,"value2","599.0"
29104,"value3","823.0"
29205,"value1","564.0"
29205,"value2","641.0"
29205,"value3","843.0"
29306,"value1","556.0"
29306,"value2","665.0"
29306,"value3","863.0"
29407,"value1","600.0"
29407,"value2","699.0"
29407,"value3","870.0"
29508,"value1","564.0"
29508,"value2","689.0"
29508,"value3","868.0"
29609,"value1","584.0"
29609,"value2","690.0"
29609,"value3","865.0"
29710,"value1","596.0"
29711,"value3","867.0"
29711,"value2","692.0"
29813,"value1","595.0"
29813,"value2","680.0"
29813,"value3","863.0"
29915,"value1","593.0"
29915,"value2","678.0"
29915,"value3","862.0"
30019,"value2","677.0"
30019,"value3","859.0"
30019,"value1","592.0"
30120,"value2","678.0"
30120,"value3","861.0"
30120,"value1","593.0"
30219,"value1","592.0"
30219,"value2","678.0"
30219,"value3","861.0"
30319,"value2","675.0"
30320,"value3","862.0"
30320,"value1","591.0"
30421,"value1","592.0"
30421,"value2","677.0"
30421,"value3","862.0"
30521,"value1","593.0"
30522,"value2","676.0"
30522,"value3","861.0"
30622,"value1","591.0"
30623,"value2","677.0"
30623,"value3","862.0"
30724,"value1","593.0"
30724,"value2","676.0"
30724,"value3","862.0"
30824,"value1","594.0"
30825,"value2","676.0"
30825,"value3","860.0"
30926,"value1","591.0"
30926,"value2","676.0"
30926,"value3","861.0"
31026,"value1","590.0"
31027,"value2","677.0"
31027,"value3","862.0"
31127,"value1","587.0"
31128,"value2","668.0"
31128,"value3","860.0"
31228,"value1","559.0"
31229,"value2","585.0"
31229,"value3","814.0"
31329,"value2","617.0"
31330,"value3","829.0"
31330,"value1","565.0"
31430,"value2","618.0"
31431,"value3","831.0"
31431,"value1","564.0"
31532,"value1","563.0"
31533,"value2","617.0"
31533,"value3","829.0"
31638,"value1","565.0"
31639,"value3","829.0"
31639,"value2","617.0"
31739,"value1","545.0"
31740,"value2","550.0"
31740,"value3","793.0"
31841,"value1","546.0"
31841,"value2","549.0"
31841,"value3","794.0"
31942,"value1","547.0"
31942,"value3","795.0"
31942,"value2","547.0"
32042,"value1","547.0"
32043,"value2","548.0"
32043,"value3","793.0"
32143,"value3","793.0"
32144,"value1","547.0"
32144,"value2","548.0"
32244,"value2","548.0"
32245,"value3","788.0"
32245,"value1","544.0"
32346,"value1","515.0"
32346,"value2","464.0"
32346,"value3","677.0"
32446,"value1","525.0"
32447,"value2","433.0"
32447,"value3","603.0"
32547,"value1","526.0"
32548,"value2","443.0"
32548,"value3","615.0"
32649,"value1","524.0"
32649,"value2","439.0"
32649,"value3","616.0"
32750,"value2","441.0"
32750,"value3","614.0"
32750,"value1","525.0"
32850,"value1","524.0"
32851,"value2","439.0"
32851,"value3","614.0"
32952,"value2","440.0"
32952,"value3","616.0"
32952,"value1","524.0"
33059,"value1","524.0"
33059,"value2","441.0"
33059,"value3","614.0"
33159,"value1","525.0"
33159,"value2","441.0"
33159,"value3","613.0"
33260,"value3","615.0"
33261,"value1","523.0"
33261,"value2","442.0"
33361,"value1","526.0"
33361,"value2","441.0"
33361,"value3","615.0"
33463,"value3","616.0"
33463,"value1","525.0"
33564,"value1","524.0"
33564,"value2","440.0"
33565,"value3","615.0"
33665,"value1","526.0"
33666,"value3","614.0"
33666,"value2","441.0"
33767,"value1","523.0"
33767,"value2","441.0"
33767,"value3","614.0"
33868,"value3","614.0"
33868,"value1","525.0"
33868,"value2","440.0"
33968,"value2","440.0"
33968,"value3","615.0"
33968,"value1","525.0"
34068,"value1","526.0"
34068,"value2","440.0"
34068,"value3","615.0"
34168,"value1","525.0"
34168,"value2","440.0"
34168,"value3","616.0"
34268,"value2","441.0"
34268,"value3","615.0"
34268,"value1","525.0"
34368,"value1","524.0"
34368,"value3","614.0"
34368,"value2","440.0"
34468,"value1","524.0"
34468,"value2","441.0"
34468,"value3","615.0"
34568,"value1","525.0"
34568,"value2","441.0"
34568,"value3","614.0"
34668,"value1","526.0"
34668,"value2","442.0"
34668,"value3","614.0"
34768,"value2","441.0"
34768,"value3","615.0"
34768,"value1","526.0"
34868,"value1","526.0"
34868,"value2","442.0"
34868,"value3","614.0"
34968,"value1","525.0"
34968,"value3","614.0"
34968,"value2","441.0"
35068,"value1","525.0"
35068,"value2","441.0"
35068,"value3","616.0"
35168,"value1","526.0"
35168,"value3","615.0"
35168,"value2","441.0"
35268,"value2","441.0"
35268,"value1","523.0"
35268,"value3","616.0"
35368,"value1","524.0"
35368,"value3","614.0"
35368,"value2","442.0"
35469,"value1","526.0"
35469,"value2","440.0"
35469,"value3","616.0"
35570,"value1","525.0"
35570,"value2","442.0"
35570,"value3","614.0"
35671,"value1","524.0"
35671,"value2","441.0"
35671,"value3","616.0"
35772,"value3","615.0"
35772,"value1","525.0"
35772,"value2","441.0"
35877,"value1","527.0"
35877,"value2","442.0"
35877,"value3","616.0"
35979,"value1","525.0"
35979,"value3","615.0"
35979,"value2","441.0"
36080,"value1","524.0"
36080,"value2","440.0"
36080,"value3","615.0"
36181,"value2","441.0"
36181,"value3","614.0"
36181,"value1","525.0"
36282,"value3","615.0"
36282,"value1","527.0"
36282,"value2","440.0"
36383,"value1","524.0"
36383,"value2","441.0"
36383,"value3","615.0"
36484,"value1","524.0"
36484,"value3","615.0"
36484,"value2","441.0"
36585,"value1","526.0"
36585,"value3","616.0"
36585,"value2","440.0"
36686,"value1","526.0"
36686,"value2","441.0"
36686,"value3","616.0"
36787,"value3","616.0"
36787,"value1","526.0"
